sys.exec.out.time {s},rkt.dynamics.lonx {degree},rkt.dynamics.latx {degree},rkt.dynamics.alt {m},rkt.dynamics._dvbi {m/s},rkt.dynamics._SBII[0] {1},rkt.dynamics._SBII[1] {1},rkt.dynamics._SBII[2] {1},rkt.dynamics._VBII[0] {1},rkt.dynamics._VBII[1] {1},rkt.dynamics._VBII[2] {1},rkt.dynamics.thtbdx {degree}
               162.8,   120.9968061674258,   22.26151538184714,   85098.62229252234,   970.7203095978127,   5249548.933098925,  -2880487.122262352,   2424678.725461117,   905.4686678718635,   208.7326819428611,   280.8114642548745,   76.36285457477118
               162.9,   120.9969807426275,   22.26151427105493,   85173.45016037114,   971.1813191199636,    5249639.50127169,   -2880466.24276681,   2424706.812957952,   905.8947885012202,    208.857291936589,    280.938460127546,   76.34682321834032
                 163,    120.997155604654,   22.26151315759825,   85248.31244800799,   971.6423952693245,   5249730.112056832,  -2880445.350791304,   2424734.913150662,   906.3209153535345,   208.9822812658522,   281.0653817074632,   76.33078321782511
               163.1,   120.9973307547235,   22.26151204147238,   85323.20913790725,    972.103560920788,   5249820.765455712,  -2880424.446298077,   2424763.026032112,   906.7470713555501,   209.1076443265472,   281.1922382058426,   76.31473457118781
               163.2,   120.9975061922336,   22.26151092267255,   85398.14021602366,   972.5648414544722,   5249911.461472927,  -2880403.529250171,   2424791.151596467,   907.1732819958285,   209.2333748790066,   281.3190397094035,   76.29867727424553
               163.3,   120.9976819184153,   22.26150980119374,   85473.10566920508,   973.0262365132505,    5250002.20011392,  -2880382.599610824,   2424819.289838214,   907.5995468453735,   209.3594731977495,   281.4457860611408,   76.28261132115171
               163.4,   120.9978579326643,   22.26150867703118,   85548.10548424814,   973.4877457401724,   5250092.981384087,  -2880361.657343246,   2424847.440751837,   908.0258654378946,   209.4859395785573,   281.5724772077949,   76.26653670799213
               163.5,   120.9980342362125,   22.26150755018008,   85623.13964790013,   973.9493687775034,   5250183.805288784,  -2880340.702410614,   2424875.604331806,   908.4522373677338,   209.6127742818353,   281.6991129228636,   76.25045343382183
               163.6,   120.9982108284564,    22.2615064206356,   85698.20814686269,   974.4111052670099,   5250274.671833327,  -2880319.734776087,   2424903.780572565,   908.8786622273381,   209.7399775679732,   281.8256929829256,   76.23436149763194
               163.7,   120.9983877101704,   22.26150528839291,   85773.31096777227,   974.8729548499517,   5250365.581022982,  -2880298.754402791,   2424931.969468535,   909.3051396382314,   209.8675496801394,   281.9522170805311,    76.2182608967115
               163.8,   120.9985648821263,   22.26150415344704,   85848.44809722807,   975.3349171677543,   5250456.532862992,  -2880277.761253831,   2424960.171014109,   909.7316691703367,   209.9954908906671,   282.0786850521873,   76.20215162529321
               163.9,   120.9987423437224,   22.26150301579315,    85923.6195217669,    975.796991861845,    5250547.52735854,  -2880256.755292283,    2424988.38520367,    910.158250372981,   210.1238014834646,   282.2050967908928,   76.18603368175063
                 164,   120.9989200961871,   22.26150187542643,   85998.82522788085,   976.2591785730826,   5250638.564514774,  -2880235.736481196,   2425016.612031585,   910.5848828261121,   210.2524817242289,   282.3314521011581,   76.16990706297921
               164.1,   120.9990981389207,   22.26150073234201,    86074.0652020108,   976.7214769689091,   5250729.644336802,  -2880214.704783593,   2425044.851492198,   911.0115661665437,   210.3815318542862,   282.4577507128319,   76.15377176796426
               164.2,    120.999276473154,   22.26149958653493,   86149.33943054546,     977.18388671868,   5250820.766829692,  -2880193.660162472,   2425073.103579825,   911.4383000280493,   210.5109521171606,   282.5839923692283,   76.13762778689868
               164.3,   120.9994550982822,   22.26149843800031,   86224.64789982606,   977.6464074608198,   5250911.931998475,  -2880172.602580805,   2425101.368288767,   911.8650839494281,   210.6407428003829,   282.7101769789209,   76.12147511517641
               164.4,    120.999634015538,   22.26149728673325,   86299.99059614725,   978.1090388332358,   5251003.139848138,  -2880151.532001537,    2425129.64561331,   912.2919175028607,   210.7709041717781,   282.8363043543761,   76.10531374973681
               164.5,   120.9998132243207,   22.26149613272889,   86375.36750573851,   978.5717804732187,    5251094.39038362,  -2880130.448387588,    2425157.93554772,   912.7188002784618,   210.9014364877694,   282.9623742552465,   76.08914369296502
               164.6,   120.9999927258588,   22.26149497598228,   86450.77861479111,   979.0346320177621,   5251185.683609824,  -2880109.351701849,   2425186.238086236,   913.1457318522688,   211.0323400119103,    283.088386478917,   76.07296494284554
               164.7,   121.0001725195508,   22.26149381648858,   86526.22390943207,   979.4975931036615,   5251277.019531606,  -2880088.241907185,   2425214.553223084,   913.5727117957287,   211.1636150098574,   283.2143408339936,   76.05677749931913
               164.8,   121.0003526066277,   22.26149265424279,    86601.7033757465,   979.9606633672864,   5251368.398153785,  -2880067.118966439,   2425242.880952462,   913.9997397092927,   211.2952617302388,   283.3402370454066,   76.04058135821649
               164.9,   121.0005329864873,   22.26149148923997,   86677.21699976176,   980.4238424451096,   5251459.819481135,  -2880045.982842423,   2425271.221268547,   914.4268151465941,   211.4272804479433,   283.4660749685517,   76.02437651862782
                 165,   121.0007136603614,    22.2614903214752,   86752.76476745401,    980.887129973295,   5251551.283518387,  -2880024.833497925,   2425299.574165503,   914.8539376735783,   211.5596714303551,   283.5918544222953,   76.00816297712285
               165.1,    121.000894627646,   22.26148915094357,   86828.34666474536,   981.3505255875708,   5251642.790270229,  -2880003.670895703,   2425327.939637472,   915.2811068713352,   211.6924349354765,   283.7175751808022,    75.9919407342699
               165.2,   121.0010758895722,    22.2614879776401,   86903.96267751046,   981.8140289233901,   5251734.339741306,  -2879982.494998494,   2425356.317678573,   915.7083223160304,   211.8255712234051,   283.8432370302639,   75.97570978677444
               165.3,   121.0012574455394,   22.26148680155986,   86979.61279157177,   982.2776396159813,   5251825.931936224,  -2879961.305769006,   2425384.708282905,   916.1355835785316,   211.9590805567244,   283.9688397699912,   75.95947013411444
               165.4,   121.0014392967777,   22.26148562269787,    87055.2969926931,   982.7413573003324,   5251917.566859541,  -2879940.103169923,   2425413.111444548,   916.5628902294741,   212.0929631976322,   284.0943831981559,   75.94322177220934
               165.5,    121.001621442685,   22.26148444104915,   87131.01526659075,   983.2051816111691,   5252009.244515777,  -2879918.887163898,   2425441.527157559,   916.9902418401565,   212.2272194073923,   284.2198671092327,   75.92696470052029
